opinion,user_description,review
Opinión sobre BBVA,contento. me gusta mucho el trato recibido por la persona que me atendio y la verdad que el prestamo me sale mas barato incluso que en el concesionario,1.0
Opinión sobre BBVA,"Servicio pésimo 
Cajas abiertas solo hay en pocas sucursales y encima ahora han limitado el horario de las cajas de 8.30 a 11.00. Eso significa colas todavía más largas, el lunes he esperado uns hora para unos cambios, una hora que no podía atender a clientes en mi negocio. Es de vergüenza!",1.0
Opinión sobre Cuenta Online Sin Comisiones,"No miran por sus clientes, somos números prescindibles. Muy descontento con su trato personal y su falta de empatía. Para colmo, les pides una hoja de reclamaciones y te **** con otra hoja de uso interno. En cuanto pueda cancelar mis cuentas, cambio de banco. En ****al menos, son unos ****",1.0
Opinión sobre BBVA,"La pagina que tiene el BBVA NET CASH es lo peor que he visto hasta ahora en soportes digitales bancarios. No trabaja en tiempo real, no sabes por tanto en que situación te encuentras. La información que te da la página es **** y realizas la misma operación ( transferencias ) varias veces porue te dice que no se ha podido realizar la anterior, al final te das cuenta que has hecho la operación dos o más veces, con el trastorno que esto supone. No es una página nada intuitiva. información nula",1.0
Opinión sobre BBVA,"0 estrellas, estampida de esta organización **** y sin ****. Trato ****, injusto e insolidario. Vergüenza.",1.0
Opinión sobre BBVA,El peor banco en plataformas digitales y opciones de pago. No tendré mis productos con este paupérrimo banco.,1.0
Opinión sobre BBVA,"Si quieres hacerla online te dan muchas vueltas. Mandas captura foto de los dos lados, te haces la selfie. Luego al hacerte la vídeo llamada tienes que enseñar otra vez el DNI . Lo intente 3 veces volviendo a rellenar todo otra vez y por más que me ponga en diferentes sitios de la casa .. ellos no ven el DNI y te mandan otra vez a rellenar todo y otra vez a la vídeo llamada . Y a tener suerte de que ellos lo vean perfecto. Una perdida de tiempo.",1.0
Opinión sobre BBVA,"Hemos abierto una cuenta a nombre de la sociedad y llevamos desde antes del estado de alarma sin poder disponer del dinero que en su día depositamos. No son un banco serio y con el tema de la pandemia ven a ver si se pueden quedar con algo mas. No aconsejo abrir cuenta en BBVA, pues no son operativos por lo menos para empresas.",1.0
Opinión sobre BBVA,Atención pésima durante el confinamiento y a día de hoy (08/06/2020) sigo sin obtener respuesta. Desde febrero tienen mis documentos y mi tasación caduca y ni con cita previa responden. Te llaman que de un día para otro al director le mandan a otra sucursal y sigues esperando. Llevo con mi operación sin atender desde febrero. Necesito respuesta. Los demás bancos si están respondiendo.,1.0
Opinión sobre BBVA,Con cada cheque me cobran el 3% y siguen con sus excusas por cobrarlas sabiendo que incumplen lo que dicen al cliente.,1.0
Opinión sobre Tarjeta Antes,Penoso. Los horarios de caja pesimos. En vez de adaptarse ellos tenemos que ser nosotros los que tengamos que pedir permiso en el trabajo por sus horarios. Prepotentes en atencion al cliente. En mi sucursal te tratan como si fueran superiores. No lo aconsejo para nada.,1.0
Opinión sobre BBVA,"Lo peor, alucino con el trato que dan a los clientes, horarios restringidos, comisiones, sucursales inaccesibles para disminuidos, cada vez que voy salgo indignado",5.0
Opinión sobre BBVA,"Muy mal servicio hice
Un pago para una tarjeta en una práctica caja  y  no aplicó el pago!!! Se quedó con
Mi dinero hablé a línea Bancomer,   Primero nunca contestaron después de unos días tomaron
Mi reporte, espero el tiempo que me indicaron . Y oh sorry vuelvo a comunicarme y que NO  hay excedente!’!’ Y no
Me regresarán mi  dinero!!!!!  Muy mal banco!",1.0
Opinión sobre BBVA,"****, porque esta cerrado un cajero que estaba abierto antes las 24 horas, lamentable que solo este operativo cuando esta abierta la oficina, te dicen que no acudas a las oficinas y cierran el cajero, ademas de atenderte de muy malas formas. BBVA, oficina de valencia en la Calle fuenta la higuera.",1.0
Opinión sobre BBVA,Me ha pasado todo lo que se dice aquí. Una devolución que es correcta en la tienda desaparece el dinero y la operación...Espero que el banco me lo devuelva en algún momento. También me han cobrado comisión indebidamente. Por lo demás es muy cómoda y segura de utilizar...pero estoy seguro que otros bancos ofrecen lo mismo sin esos problemas.,1.0
Opinión sobre BBVA,"Dejo aquí mi reseña tremendamente positiva en particular para una trabajadora, **** del departamento de crédito automóvil de Madrid. Trato EXCELENTE, muy resolutiva y profesional. Mis 5 estrellas para BBVA gracias a ella.",1.0
Opinión sobre BBVA,"Despues del fallecimiento de mi madre, en Abril, inicio las tramitaciones con el BBVA para cancelar la Hipoteca(que tiene pendiente) y la posterior cancelacion de su Cuenta Corriente, obligada a abrirse para el pago de dicha Hipoteca. Desde Primeros de Mayo hasta fecha de hoy he llamado a reclamaciones, atencion al cliente y a la sucursal. He mandado varios correos a la sucursal (que no contesta) he abierto 3 reclamaciones sin contestar a Atencion al Cliente. No se que documento necesitan. ****",1.0
Opinión sobre BBVA,Muy poco solidarios,2.0
Opinión sobre BBVA,Funciona fatal. No aconsejo trabajar con en este banco. Pésima solución de cualquier queja o incidencia,1.0
Opinión sobre BBVA,"El peor banco en el que e puesto mi dinero 
Me parece vergonzoso las comisiones que cobran por cualquier cosa de todas la mas vergonzosa es que te cobren 12 euros por pedir un certificado de titularidad y si lo haces online que debería ser gratis ya que el trabajo lo esta haciendo uno mismo tambien te cobra",1.0
Opinión sobre Cuenta Online Sin Comisiones,banco nada recomendable. mi hermano esta en erte y lleva dos meses intentando que le concedan la moratoria covid 19 sobre la hipoteca. solo le piden papeles y mas papeles (le han pedido entre otras cosas hasta el nombre del notario de las escrituras) y mientras no la apruevan la moratoria a pagar prestamo y el dinero del sepe sin llegar (si no consigues el dinero para pagar la hipoteca quedas automaticamente fuera de la moratoria (no puedes deber ninguna letra) este es tu banco,5.0
Opinión sobre BBVA,"Muy mal, llamas al numero de teléfono de atención al cliente y sale el contestador que no pueden atenderte y se cuelga la llamada llamando durante toda la mañana.",1.0
Opinión sobre BBVA,"muy mala experiencia con la cuenta online. me han hecho un fraude con la tarjeta realizando un pago no autorizado por mi parte y se niegan a devolverme el dinero ya que dicen que la compra se ha efectuado en un comercio seguro ( la compra fue en Rusia). No son capaces de darme ningún dato del comercio, dirección de IP donde se efectuó el pago ya que según dicen por la ley de protección de datos no me pueden facilitar ningún dato sin embargo no son capaces de proteger mi dinero que tenía en la en",1.0
Opinión sobre BBVA,"pésimo sistema que tiene para sacar una tarjeta, llevo intentándolo más de 20 veces y no avanza del proceso después de ingresar mis datos.",1.0
Opinión sobre BBVA,"El proceso de alta muy sencillo y la app bastante intuitiva.  Por ahora ninguna queja, todo muy claro.",1.0
Opinión sobre BBVA,"Oficina BBVA **** Hace tres días en plena crisis del covid para solicitar moratoria hipotecaria, me tienen 30 min de conversación telefónica pidiéndome un montón de papeleo, solo faltaba pedirme un test de COVID negativo. Ya me tienen mas que fichado, que ganas de aburrir al cliente para que pida dinero a alguien y siga pagando la hipoteca. que fue lo que hice.",5.0
Opinión sobre BBVA,"pésimo servicio, no me pueden solucionar un problema sencillo, me comunico al banco y como no tienen personal cpacitado para dar una solución, me comunican de un departamento a otro hasta que se corta mi llamada y tengo que hablar de nuevo obteniendo la misma nefasta respuesta ""la comunico a otro departamento"" al final no me pudieron ayudar en nada y tuve que acudir a otro banco donde la experiencia fue gratamente satisfactoria.",1.0
Opinión sobre BBVA,"Es increible que en siglo 21 aun estemos asi... me aceptaron un anticipo en el trabajo el dia 14 para pagar mis cosas y no me cobren mas comisiones, bueno pues a dia 18 aun no tengo mi dinero, 15 san isidro festivo, 16 sabado, 17 domingo, 18 lunes.. y aun no lo tengo..ya no me sirve el adelanto una mierda ya me cobraron todas las comisiones por andar en menos, ya que no cobre a tiempo lo que me corresponde,no he visto banco mas lento meteros mi anticipo del trabajo por el culo 1 semana sin comer",5.0
Opinión sobre BBVA,Mi experiencia esta siendo vergonzosa. Por una herencia herede una vivienda con hipoteca. Ingrese la cantidad necesaria para cancelarla y a fecha de hoy (5 meses después) no han cancelado la hipoteca. Es una pena que una banco de este nivel se dedique a ****,1.0
Opinión sobre BBVA,Me dejaron tirado en crisis del 2008 y lo vuelven a hacer en crisis del covid no dandome la moratoria,1.0
Opinión sobre BBVA,"Banco nefasto, tened mucho cuidado si vuestros ahorros en él, porque si fallecéis, no le facilitan las cosas a los herederos, llevamos un año para que nos den el dinero de mi padre fallecido.",1.0
Opinión sobre BBVA,Mi pareja y yo nos la abrimos por eso de que pueden tener dos titulares con dos tarjetas gratis. La usamos para compartir gastos y la verdad es que bien,1.0
Opinión sobre Cuenta Online Sin Comisiones,"BBVA Colombia ofrece alivios durante la cuarentena, pero yo llevo 2 meses solicitándolas a su línea telefónica, por el formulario de su web, por email, y hasta por inbox de Twitter, y me he hartado de dar mi número telefónico y mi email y nadie ha llamado ni escrito.
La respuesta por Twitter es que hay un formulario en la web y líneas a las que debo llamar para solicitar mi alivio, cosa que, como ya he comentado por todos los medios de contacto, llevo haciendo desde inicios de marzo, sin rta",1.0
Opinión sobre BBVA,"BBVA CONTIGO ME FORRO A COMISIONES.
BBVA no concede la moratoria de las hipotecas, no adelanta el dinero de los ERTOS, y además te cobra 60€ de comisiones.
BBVA CONTIGO ME FORRO A COMISIONES",4.0
Opinión sobre Oficina 4453 en La Nucía,"Muy mal,lleva una semana sin fincionar. Y llamas por teléfono,y no te coguen",5.0
Opinión sobre BBVA,"El BBVA es un banco sin escrúpulos, ahora que estamos en la situación que estamos por culpa del coronavirus y que economicamente nos ha golpeado a muchos me cobran 30 euros por pagar mi hipoteca 5 dias mas tarde de cuando me tocaba y antetiormente si alguna vez lo pagué tarde nunca me lo habian cobrado. ****",1.0
Opinión sobre BBVA,"Despues de completar el proceso de alta me dicen por mail que pase por una oficina. Lo intente 2 veces. 
Que sea una aplicacion online y ya no te deje ni darte de alta.....lo dice todo.",1.0
Opinión sobre BBVA,"Llevo desde 2018 con la cuenta on-line, no me han cargado ni un céntimo en comisiones, me ingresan la pensión el día 25 aunque sea festivo (hasta en Navidad) y no sé cómo atenderán en la oficina porque nunca necesité ir.",1.0
Opinión sobre BBVA,"Esta sucursal del BBVA y sus trabajadores son, con mucha diferencia, los peores gestores con los que he tratado nunca. Mi madre tiene cuenta allí (llevamos un año intentando cerrarla) y ha tenido varias incidencias muy graves. Han llegado a firmarle 4 seguros en un mismo préstamo durante años!! Le han sangrado a comisiones y recargos desde que es clienta hace de 10 años. Haremos todo lo posible para dar a conocer al resto de potenciales clientes que tipo de personas ""trabajan"" en esa sucursal.",2.0
Opinión sobre BBVA,"LAMENTABLE , MUY mala experiencia con este banco .
Hoy mismo intentando hablar con mi oficina o atencion a clientes del bano IMPOSIBLE  , llamando desde las 08:00 h hasta ahora 14:27 .",5.0
Opinión sobre BBVA,Penoso. No contestan al teléfono. No dejan de poner trabas con la moratoria. No se lo recomiendo a absolutamente nadie este banco,1.0
Opinión sobre BBVA,"Si quieres que te ingresen tu nomina en el dia, tu para al instante..NO ES TU BANCO...pero si quieres pagar cualquier gasto al momento...SI LO ES",2.0
Opinión sobre BBVA,Me parece una vergüenza que mis compañeros de trabajo cobrarán ayer y en el bbva por ser festivo hasta el lunes día 4 no puedo cobrar pero bien que me han descontado 2 euros de descubierto cuando la culpa es del banco por no ingresar la nómina el festivos y fines de semana,1.0
Opinión sobre BBVA,"Yo me abrí la cuenta online con ellos y la verdad es que muy contento. Hace meses que no piso una oficina. La app va de maravilla, sobre todo lo de integrar otras cuentas dentro, que permite limpiar espacio del telf",1.0
Opinión sobre BBVA,"No se merecen ni una estrella. Andan cobrando y firmando cosas a través de su app móvil a diestro y siniestro sin posibilidades de devolución y de una manera muy poco transparente. Huye de ellos, y sobre todo no uses su aplicación o empezarán a cobrarte cosas que ni quieres ni has solicitado y lo peor es que no conseguirás que te lo devuelvan. Muy triste esta entidad, poco humana hacia las personas.",1.0
Opinión sobre Tarjeta Antes,"Te cobran comisiones. No te dejes engañar.
Llevo un mes reclamando la retirada de una comisión y no lo consigo. Has de insistir mucho tiempo, muchos correos y muchas llamadas.  Gestores poco efectivos.",1.0
Opinión sobre BBVA,"No se merecen ni una estrella, son lo peor, en época como estamos de crisis por el COVID-19, me cobran 43€ por una tarjeta que ni siquiera he utilizado, ya demostráis con vuestros echos como sois, no os recomendaría ni a mi peor enemigo",1.0
Opinión sobre Préstamo coche BBVA,4 dias llamando cada 30 minutos y nada abandonados estamos. Incompetentes si no tenéis suficientes telefonistas contratar más pero este trato es ridículo.,1.0
Opinión sobre BBVA,"****!!! Muy muy mal, aprovechando esta situación me cobran mas de 4 veces el precio de un servicio que realizo con ellos mensualmente. Intentas llamar por teléfono y más de 20 min sin atención ninguna en todas las llamadas, en una te lo cojen y al pasarte supuestamente a otro departamento, te cuelgan. No está bien ser usureros, y encima desesperar al cliente para no resolver el problema. Muy muy mal.",4.0
Opinión sobre Cuenta Online Sin Comisiones,"Cuando te hacen un abono parcial de una compra, por ejemplo compras varias cosas y una no viene, aparece la devolución pendiente, al día siguiente desaparece el pendiente y el dinero. Así que no sabes donde está el dinero, la tienda llamas y consta abonado y el banco no sabe no contesta. No te dan el dinero. Mal muy mal.. así para que la quieres?",5.0
Opinión sobre BBVA,"Estaba bastante contenta con BBVA hasta la semana pasada, cuando desde la app solicité un documento con una comisión de 2 euros. Hasta ahí todo normal, si no hubiera sido porque me aparecía un mensaje de error (hice captura de pantalla) y me han cobrado 4 veces. Reclamé adjuntando la captura y ni siquiera me llamaron cuando se cerró la incidencia. Volví a llamar yo para preguntar y me dijeron que había sido culpa mía, sin devolverme absolutamente nada. Cancelaré toda relación con ellos. Nefasto",1.0
Opinión sobre BBVA,"Nefasto! Tras 4 meses de estar pagando la cuota correspondiente, aun no me han enviado el contrato. Muy descontento con Terrauto ( concesionario Citroen de Terrassa y con Bbva Finance.",1.0
Opinión sobre BBVA,"En 2007,se vendieron títulos a 20 Euros, Vender a 2,60Euros
Jajajaazz... Alucinante...",5.0
Opinión sobre BBVA,Llevo casi 5 años con la cuenta y estoy encantado. Venía de ING y tenía miedo con las comisiones pero nunca me han cobrado nada ni por la cuenta ni por la tarjeta. La app es increíble y tienen bastante cajeros con mucha funcionalidad también. Yo se lo recomendé a mi mujer y mis hermanos.,1.0
Opinión sobre BBVA,"Se dedican hacer publicidad que van ayudar autónomos en estado de alarma y lo cierto es que no paran de cobrarnos intereses en cuenta y por pagar la hipoteca 3 días tarde en pleno estado de confinamiento 30€ de intereses , haciendo negocios en plena pandemia , y los gestores de oficina lavándose las manos .",2.0
Opinión sobre BBVA,"Yo de momento cancelo mi seguro de vida que me obligaron para domiciliar mi nómina que llevo dos años y medio pagando y ya me enteraré si me an engañado que creo que sí y en cuanto pueda mi nómina se irá a otro banco, soy un afectado por el arte, el INEM no me a ingresado nada, BBVA me adelantó 150 en concepto de descubierto, bien, un amigo me ingresó 50 que era para comer y ellos se lo quedaron, absurdo, encima el teleoperador me dice porque lo ingresó y que hago sacó la paloma mensajera? Hola?",2.0
Opinión sobre Oficina 0583 en Alcalà de Xivert,"Ok BBVA...La Política Marcha del BBVA, Social PROGRESISTA
   Unidad.  VAAAAAAMOS.",1.0
Opinión sobre BBVA,"Es increíble que estemos esperando una llamada,así nos indicaron en atención al cliente, y no nos llama nadie habiéndolo solicitado en varias ocasiones. Dese el día 8 de abril tengo chats pidiendo información, deben contestar en menos de 5 horas, y a día de hoy no tengo respuesta. Es increíble y no quiero tener un banco silencioso, sin atención ni consideraciones. En cuanto se pueda salir sin problemas nos damos de baja.",1.0
Opinión sobre BBVA,Tengo dos dias sin poder accesar a la APP,1.0
Opinión sobre Oficina 1636 en La Pobla De Vallbona,Malisima no puedo conectar con nadie  en persona,1.0
Opinión sobre BBVA,La peor oficina de la región,1.0
"Opinión sobre Oficina 6675 en Cartama, De",Sin ayuda para nada por el estado de alarma cada seis meses te cobran una pasada de comisiones en cuanto pueda me doy de baja en todo sin vergüenza y incopetentes,1.0
Opinión sobre Cuenta Online Sin Comisiones,"Sinvergüenzas por no pagar un solo recibo por el estado de alarma porque siempre e estado trabajado de autónomo y no tengo derecho a nada me a llamado una mujer muy impertinente para que page un recibo de 56€ le e dicho q cuando acabe todo lo pago y me an puesto de recargo 30€ por 3 días. Como esta el país y desplumandonos a los pobres a comisiones a ellos no le importan nada que haya una pademia y no podamos responder a los pagos, encima se aprovechan de la situación asín cobran más intereses",1.0
Opinión sobre BBVA,"Incompetentes, ni por teléfono ni por ningún sitio atienden, tienen a sus clientes abandonados. Y lo dice una clienta que lo es desde hace 33 años o mas.",1.0
Opinión sobre BBVA,"Una **** , no puedo acceder a mi cuenta desde la app",1.0
Opinión sobre Cuenta Online Sin Comisiones,"No se con el estado de alarma que tenemos porque cuando se les llama por telefono y varias veces no contestan,despues quieren que no salgamos ni hayan aglomeracion de personas en la calle.Vaya inompetentes.",4.0
Opinión sobre Cuenta Online Sin Comisiones,"Despues de introducir toda la información, nos enviaron un correo electrónico diciendo que no habīa sido posible completar el proceso de alta y que nos dirigiesemos a una oficina.",1.0
Opinión sobre BBVA,"Una Empresa se queda bloqueada la cuenta cuatro días porque el servicio solo funciona de lunes a viernes, alucinante, servicio de ****",1.0
Opinión sobre Cuenta Online Sin Comisiones,Me fui de vacaciones a otro país y tenia que augmentar mi límite de crédito. No me lo pudieron gestionar porque no tenia datos en el móvil y no podía recibir el sms de confirmación. Me costó parte de las vacaciones.,4.0
Opinión sobre BBVA,"Muchas pegas para gente von nomima inferiores a 2,300 euros, in ingresos bankarios por cheqie inversiones de menos xe 100000 o mas euros  , es Trampa......",1.0
Opinión sobre BBVA,"fatal, un extranjero europeo residente en españa no puede abrir la cuenta online porque el ""nie verde"" no es valido como documento de identidad",1.0
Opinión sobre Préstamo Rápido Online,"****, en el momento que finalice con el préstamo que tengo cierro la cuenta. Cada seis meses me cobran 150€ de comisiones, en una cuenta la cual solo se utiliza para el pago de la cuota. 300€ al año por dios es una auténtica aberración. He realizado escrito al banco de España porque me han asesorado y me han dicho que puedo recuperar parte del dinero.",5.0
Opinión sobre Cuenta Online Sin Comisiones,Todo bien solo que no especifica los límites para retirar dinero,1.0
Opinión sobre BBVA,"Son unos **** en toda regla. Resulta que puedes contratar online una cuenta pero no darla de baja. Me envian a km lejos con el estado de alarma vigente, mientras 60 e de intereses por no ingresar nomina. PROVOCAN ANSIEDAD!! FACILIDADES NINGUNA",1.0
Opinión sobre BBVA,"Que opino del BBVA? cuando acabe el confinamiento por el coronavirus, me daré de baja lo más rapidamente posible del mismo. A diferencia de otras compañías, en esta no trabaja ni dios y no puedes obtener ayuda alguna si no estas dado de alta en pagina web para operar via internet cosa que por desgracia mucha gente mayor no puede hacer. Así que cuando pueda le regalare el dinero a otra entidad, esta no se lo merece.",1.0
Opinión sobre Cuenta Online Sin Comisiones,es cierto que lo dan muy rapido,1.0
Opinión sobre BBVA,No me deja abrir una cuenta online llevo intentandolo 8 dias,1.0
Opinión sobre BBVA,"Soy autonomo que ha tenido que cerrar por el estado de alarma. Mucho prometer y a la hora de la verdad mentiras.Ni me han querido aplazar mi credito ni darme credito ni nada . Es mas han retenido el recibo del autonomo para pasar primero sus recibos entre ellos el del credito de cosumo, por si no habia dinero para todo. Lamentables y decepcionantes tanto como para cobrarme la cuota del tpv porque no ha facturado.Como iba a factura si no puedo abrir? En fin en cuanto esto acabe me cambio de banco",1.0
Opinión sobre BBVA,**** que se aprobechan de la situacion de los clientes.un horror de banca.no la recomiendo para nada.,1.0
Opinión sobre BBVA,"Por el ingreso de un cheque ,se me ha cobrado 83€, cuando contrate la cuenta, me dijeron que no había comisiones, no entiendo que les des dinero ,y encima te cobren, y la solución ante mi queja ,a sido todo lo que tengo que hacer para anular la cuenta y irme a otro banco ,cosa que naturalmente estoy haciendo ,me parece un **** .",1.0
Opinión sobre BBVA,"Cada vez tienen peor servicio,hacen cobros indebidos y luego para que lo abonen es un no parar de reclamaciones via mail perdiendo mucho tiempo y energía simplemente para que te den lo que es tuyo.",1.0
Opinión sobre BBVA,"Hicimos unas transferencias de unos importes elevados para la compra de una vivienda. El promotor nos dijo que se haría aval banacario y la entidad está obligada a tenerlo, pues no se han hecho las obras y cuando vamos a reclamar al bbva las cantidades entregadas a cuenta han cancelado la cuenta donde pusimos el dinero y no nos lo solucionan, nos dan largar y no hacen nada. De verdad eso es muyyy ilegal y les da igual, no nos devuelven el dinero y es muchi",1.0
Opinión sobre BBVA,"Después de 6 años trabajando con ellos, que me han ofrecido prestamos a todas horas, que me han acosado con sus productos financieros . Con cuentas a nicer personal con bastante dinero, les he solicitado la cantidad de 60 mil euros para un Ico para la empresa ( estamos en l situación en la que estamos ) y una semana perdida después de solicitarme hasta lo que como y meo ... me contestan que lo pida en otra entidad .... me parece increíble , les voy a cancelar cuando pase esto toooodo!!!!",5.0
Opinión sobre BBVA,"Después de esperar por 20 minutos para ser atendido ellos me han contestado que aún no se puede pedir la moratoria de la hipoteca, decretado por el Gobierno de España, por él coronavírus. Mi hipoteca ha sido cobrada hoy y apenas me queda para comer. Tuve que cerrar mi restaurante como muchos y no tengo ingresos. La telefonista mi contestó que el BBVA aún no tiene un plan concretizado para este trámite. Si fuera un plan de aumento de precios o impuestos o comisiones ya estaría listo. ¿ Y ahora?",1.0
Opinión sobre BBVA,"En plena crisis del coronavirus le mandan varios mensajes al móvil de mi madre diciéndole que su seguridad es lo primero y que no vaya a las oficinas. Le dicen que llame para confirmar su teléfono móvil y así puede operar y consultar el saldo por internet. Llama al número que le dicen y después de 10 preguntas de seguridad, incluido el número de DNI de su marido fallecido años atrás le dicen que no pueden ayudarle y que tiene que ir a una oficina físicamente con 85años. Juzguen ustedes.",4.0
Opinión sobre BBVA,Desde que falleció mi Padre hace 2 años y medio el BBVA se esta portando muy mal con nosotros y este mes que digi el mismo Gobierno que Adelantaba las Pensiones para el Día 20 de Marzo no esta la pensión cosa que no hay derecho porque en los Demás Bancos si esta Disponible solo saben Negociar con el Dinero de todos los Ciudadanos son una Pandilla de Chorizo como le dije al Director del Banco Sirverguenza,4.0
Opinión sobre BBVA,"BBVA... Social,..nunca Comprenderé, como una Entidad, Q vive del Pueblo, No es Social....Ok Carlos Torres Vila...me.gusta.",1.0
Opinión sobre Cuenta Online Sin Comisiones,"Mi experiencia ha sido nefasta. Ya hace años que no formo parte de este banco de ladrones. Me hice dos cuentas y no dudaron en cobrarme por todo. Pero cuando les tocó a ellos dar la cara y devolverme un dinero que la seguridad social me cobró de más por una irregularidad suya, ahí nadie dio la cara. Fui a reclamarlo y no me hicieron ni caso, ni se responsabilizaron  de esa sanción . En muchos años nadie se ha preocupado de llamarme y devolvérmelo. Me obligan a poner estrella. pero es un  0",1.0
Opinión sobre BBVA,"El BBVA, Valor Seguro... Mirar la Veteranía de las Acciones, a la hora de Repartir, Beneficios.",1.0
Opinión sobre BBVA,"El BBVA, Valor Seguro... Mirar la Veteranía de las Acciones",1.0
Opinión sobre BBVA,"Cero agilidad en los trámites. Mientras en un día con otro banco hago 4 transacciones con BBVA hago solo 1 y me toca esperar 24 a 72 horas, terrible",1.0
Opinión sobre Cuenta Online Sin Comisiones,"Cuidado, te cobran comisiones y corretaje indebido, después te marean para reclamar, mejor hacerlo vía consumo, ellos se ríen de los clientes",1.0
Opinión sobre BBVA,Muchas comisiones si no te pasas a la plataforma online... Y la plataforma online es una vergüenza ya que tiene una atención al cliente ridículamente mala...  No vas a meter tu dinero en un servicio online del que no te puedes fiar que te solucionen ningún problema.,5.0
Opinión sobre BBVA,Me parece fatal que para un ciudadano de la ue sea tan difícil abrir una cuenta online por el tema del NIE! Vergonzoso,5.0
Opinión sobre BBVA,"Les pongo una estrella y porque me obligan. Cobra. Por todo,una app muy buena,pero no tiene nada que ver con lo de hace unos meses... El trato a los clientes malísimo, las caras y soberbia de los empleados pésima. Están tratándonos como lo que necesitan: números para sumar ellos y sus superiores. Qué lástima con lo bueno que era el banco y su trato. Cerrando oficinas ,engañando a los clientes y con un trato malísimo.",1.0
Opinión sobre BBVA,Lo que no te dicen es que al cancelar la otra cuenta que tenias en BBVA para abrir ésta sin comisiones ¡Te cobran 65 euros de comisión! Te enteras cuando ya has abierto la nueva y no tienes más remedio que ppagar,1.0
Opinión sobre Cuenta Online Sin Comisiones,"Asistí a BBVA sucursal ****. Para mi sorpresa la atención que recibí en la ventanilla por parte de **** fue excelente. Atento, amable y pendiente de todas mis inquietudes. Gracias por tu atención. Ojalá y todos los que trabajan en BBVA se preocuparan por los clientes",1.0
Opinión sobre BBVA,"Se puede hacer todo a través de la aplicación, web o por teléfono. Quizás no me guste el cobre de los certificados de titularidad. Segunda cuenta gratuita, ahorra el cambio, etc...creo que se han adaptado muy bien a las nuevas tendencias.",1.0
Opinión sobre BBVA,"este banco es una broma, no se puede hacer nada, todo es complicado ... horror",1.0
Opinión sobre Oficina 0883 en Illescas,"La atención al cliente malísima, en la oficina de ****",1.0
Opinión sobre Tarjeta Antes,Una vergüenza... que alguien que guarda tus ahorros con un sistema online tenga un servicio de atencion al cliente que se rie de tí y nunca soluciona nada! es de 0! nunca voy a dejar mi dinero en sus manos jamás!,1.0
Opinión sobre Cuenta Online Sin Comisiones,"Para préstamo de auto promoción, son un caos. Una calamidad.
Deberían de echar a los que atienden las certificaciones de obra.
No tienen disciplina, ni orden, ni informan, ni dan una guía, ni te ayudan, ni justifican las disposiciones, y se lían un montón con las certificaciones de obra, los plazos y fechas.
Un total desastre.

En cambio, la asesora es muy atenta y profesional.",2.0
Opinión sobre Hipoteca Variable Familia MUFACE,Lamentable gestion al solicitar un prestamo de solo 3000 euros .,3.0
Opinión sobre Hipoteca a Tipo Fijo Familia MUFACE,Penosamente para contactar por telefono tengo mas de 35llamadas al dia sin respuesta.tienes que tener cita para k te atiendan para jestionar tu dinero no lo entiendo ..yo deseando llegar el martes para cerral mi cuenta con bbva no por nada por la atencion telefonica y por no hablar de mis casi 70€ k me cobraron por tonterias d la nomina.espero k los valla mejor k a mi,3.0
Opinión sobre BBVA,"la tengo hace poco y estaba encantado, hoy me han mandado que a partir de mayo de 2020 cobran 5 euros anuales, son una panda de sinverguenzas, tento nomina desde 2007 y todo domiciliado, cada dia inventan algo nuevo, estoy planteandome irme a otro banco",1.0
Opinión sobre BBVA,"NUEVOS clientes solo, si tienes cuenta o estás autorizado, no puedes abrirla, o si, pero te cobran la tarjeta al año.",1.0
Opinión sobre BBVA,"
Cierra todo lo que tengas, escribe a derechosprotecciondatos@bbva.com un email con una carta pdf que incluya DNI y petición de cancelación/supresión de TODOS tus datos personales del sistema, recibirás la confirmación en unas semanas, espera unos 3 meses y la abres online.",1.0
Opinión sobre BBVA,Con lo bajo que está el euribor es una opción que contemplo entre otros bancos,1.0
Opinión sobre Cuenta Online Sin Comisiones,El tipo de interés está bien y tienes la seguridad de tratar con un banco de los de siempre,5.0
Opinión sobre BBVA,Pues tengo cuenta con ustedes y soy unifamiliar.. ahora voy a ingresar mi nomina con ustedes y veo q para personas solas no hay promoción por ingresar nomina.. lo veo muy mal.. somis personas independientes y no nos valorais. Gracias **** dejo mi numero por si necesitais poneros en contacto,1.0
Opinión sobre Oficina 1339 en Leganés,"Es mi banco desde hace más de 15 años con la nómina y mis recibos. La semana pasada veo un mensaje en la app , que me comunica que no cumplo las condiciones y que me van ha cobrar comisiones. Bien llamo por teléfono al gestor y le digo cuál es el problema ella me contesta que el sistema dice que no tengo ingresos, pero sí que he cobrado , le digo que revise los movimientos y que verá que si he cobrado, lo revisa y ve que si tengo ingresos. Pero me suelta , el sistema dice que no? En fin , ...",1.0
Opinión sobre BBVA,"Llevo 23 años y no me puedo creer el trato que recibo
Trabajo fijo en mercadona 1123 euros y ahora mismo solo necesito un anticipo de nómina para la abogada que estoy en divorcio 
Y en la oficina de avenida de Velazquez. Málaga me han dicho que no me pueden dar el disponible de 1000 euros que antes tenia
Esi si se cobran lo que quieren de interés y comision 
Necesito que me ayuden por favor. Gracias",1.0
